day	hour	value	album	artist
1	1	16	Rock Vol 1	Ralph Schuckett	
1	2	20	Rock Vol 1, Latin Vol 1	Stephanie Bennett, John McCurry, Irene Merring	
1	3	0	 	 	
1	4	0	 	 	
1	5	0	 	 	
1	6	2	Jazz Vol 1	DavidP. Wolfert, Seth Schere, Randy Klein, Joi Veer	
1	7	0	 	 	
1	8	9	Film Tv Vol 1, Jazz Vol 1	Michael Genato, Ben Fisseler, Kevin Packard, SandroG. Masoni, Laurent Medelgi, Jose Arias	
1	9	25	Electronics Vol1	John Griggs, DarrenMarc Levene, Leroy Bocchieri, Harlan Glotzer, MichaelJon Goodrich	
1	10	49	Urban Vol 1, Classical Vol 1, Electronics Vol1	Philipp Peltz, Nathan Reinauer	
1	11	57	Jazz Vol 1, Blues Vol 1	Adonis Tsilimparis, Hugh Pool, Darko Saric, Ed Kessel, David Schoenwetter, Rick Horvath	
1	12	61	Rock Vol 1, Latin Vol 1, Pop Vol 1	Jessica Stamper(DreamCircle)	
1	13	37	Pop Vol 1	Felix Miklik, Katy Walker(DreamCircle)	
1	14	66	Country Fold Vol 1	Erika Buestami, Jason Livesay	
1	15	70	Pop Vol 1	Brendan Arnold(AudioSpaghetti), Felix Thoma, Christian Montalbano	
1	16	55	Jazz Vol 1, Blues Vol 1	Andrew Shapiro	
1	17	51	Blues Vol 1, Jazz Vol 1, Country Fold Vol 1, Latin Vol 1	Joi Veer, Patrick Slattery, YanceyDrew Lambert, Ryan Woollerton	
1	18	55	Blues Vol 1, Classical Vol 1	Ben Zwerin(DreamCircle), John Loeffler, Greg Hosharian	
1	19	17	Urban Vol 1, Electronics Vol1, Pop Vol 1	Rick DiFonzo, Ruth Polcari, Gabrielle Sterbenz, Pamela Werth	
1	20	20	Latin Vol 1	Benjamin Riordan, Joshua Guthals	
1	21	9	Jazz Vol 1, Rock Vol 1, Classical Vol 1	Janet Cucinotti, Brian Bergeron	
1	22	4	Pop Vol 1	Jerome Langlois, Jim Klein, Neil Jason	
1	23	0	 	 	
1	24	12	Classical Vol 1, Country Fold Vol 1, Blues Vol 1	Debbie Deane, Michael Levine	
2	1	6	Jazz Vol 1, Film Tv Vol 1	Tim Ziesmer, Ezekiel Honig	
2	2	2	Jazz Vol 1, Blues Vol 1	Renzo Miralles, Darko Saric, KarenLee Larson(Derby), Ernie Lake	
2	3	0	 	 	
2	4	0	 	 	
2	5	0	 	 	
2	6	2	Blues Vol 1	Michael Nova, Harold Taylor, Brian Casel, Aaron Saloman, Len Handler, Hal Goldstein	
2	7	4	Urban Vol 1	Patrick Beyer, Chris Smith, Jose Arias, Mike Newport, Aaron Nagler	
2	8	11	Electronics Vol1, Classical Vol 1, Urban Vol 1	Nathan Reinauer, John McCurry, Katrina Russ, Zilo Groove, Joel Mejia(DreamCircle), Eric Bolvin	
2	9	28	Latin Vol 1	Leroy Bocchieri, Yutaka Uchida, Josh Stern, Matthew Hillyer, KennethW. Weydener, Greg Hosharian	
2	10	49	Film Tv Vol 1, Classical Vol 1, Latin Vol 1	Michael Nova, Rosalind Richards, Robert Mann, Joel Mejia(DreamCircle)	
2	11	51	Rock Vol 1	Avishay Sapir, Robert Mann, Michael McLaughlin, Matt Campana, Jared Jones, DarrenMarc Levene	
2	12	47	Classical Vol 1	Pamela Werth, Curtis Witters, LouiseCarmen Cook, Matthew Hillyer, Rick DiFonzo, Pablo Schmitt	
2	13	38	Blues Vol 1, Classical Vol 1, Pop Vol 1, Rock Vol 1, Jazz Vol 1	Mark Cally, Jared Jones	
2	14	65	Film Tv Vol 1, Pop Vol 1	Christopher Lentine, SusanF. Schnitzer, YanceyDrew Lambert, Jamie Sparks, Nunzio Signore, Diederik Baan	
2	15	60	Urban Vol 1, Blues Vol 1	Mike Genato(DreamCircle), Steve Rabeler	
2	16	50	Latin Vol 1, Urban Vol 1, Classical Vol 1	JonathanMartin Gordon	
2	17	65	Urban Vol 1, Jazz Vol 1, Blues Vol 1	Ken Wallace, StephenAndrew Love, Simon Brewer, John Snow, James Forrest	
2	18	50	Blues Vol 1, Country Fold Vol 1	Mark Allaway, Dean Barrett, Hugh Pool, William Naughton	
2	19	22	Urban Vol 1	Michael D'Agostino, Jared Jones, Andy Mark, Barry Cahill, Steve Rabeler, Kelly Weeks	
2	20	11	Urban Vol 1	Nicholas Saya, Brad Ross, Demetri Joannou(BlueMoonHarem), JamesR. Wilson, LucasCantor ListenHearNow	
2	21	12	Rock Vol 1, Urban Vol 1	Robert Firpo-Cappiello, Shane Henry	
2	22	9	Jazz Vol 1	ErinLee Kelly, Debbie Deane, Timothy Young, Aaron Nagler	
2	23	0	 	 	
2	24	13	Electronics Vol1, Country Fold Vol 1, Latin Vol 1, Pop Vol 1	Richard Leissler, Manuel Zapien-Gamez, Felix Miklik	
3	1	5	Blues Vol 1	Michael Trapp	
3	2	8	Classical Vol 1	Victor Castillo, Lisa Jaeggi, Simon Power	
3	3	8	Jazz Vol 1, Country Fold Vol 1, Rock Vol 1	Scott Jones, Akihiro Yamamoto, Stuart Burrows, BenjaminC. Gorske	
3	4	0	 	 	
3	5	0	 	 	
3	6	2	Pop Vol 1, Electronics Vol1	Curtis Witters, Donell Johnson, Kyle Kee, Kanako Omae, JonGilbert Leavitt, Benjamin Riordan	
3	7	5	Latin Vol 1	PhillipM. Bright, Glen Cavanagh	
3	8	12	Jazz Vol 1, Blues Vol 1	Demetri Joannou(BlueMoonHarem), Ryan Braman(SweetJaponic), Scott Jones, Michael Genato, Michael Hayes	
3	9	34	Latin Vol 1, Urban Vol 1, Pop Vol 1, Film Tv Vol 1	Damon Bray, Lou Cortelezzi, Aaron Saloman, Neil Cross, John Griggs	
3	10	43	Pop Vol 1	JonathanD. Buchsbaum(BlueMoonHarem), Chris Murrot, Paul Russell, Christopher Toland, Mark Allaway, AaronM. Peterson(JoelChassan)	
3	11	54	Urban Vol 1	Ben Fisseler, Brian Casel, Eliot Pister, Mark Breeding	
3	12	44	Rock Vol 1, Jazz Vol 1, Urban Vol 1	Debra Davis, Wade Tonken, Jose Arias, Christian Castle	
3	13	40	Latin Vol 1, Pop Vol 1	Adonis Tsilimparis	
3	14	48	Urban Vol 1	Walter Elson, ErinLee Kelly, JamesR. Wilson	
3	15	54	Country Fold Vol 1, Classical Vol 1, Jazz Vol 1	Donell Johnson	
3	16	59	Blues Vol 1, Urban Vol 1	Oren Neiman, Kelley Kelley, Robert Mann, Daniel Basford, Curtis Witters	
3	17	60	Country Fold Vol 1	John Loeffler, Michael Logozar, Dan Pasternak, Robert Firpo-Cappiello, Michael Levine	
3	18	51	Country Fold Vol 1, Classical Vol 1, Blues Vol 1, Film Tv Vol 1	Gary Arnold, Greg Colacino, Adrienne Woods	
3	19	21	Blues Vol 1, Jazz Vol 1, Electronics Vol1, Urban Vol 1	Walter Elson	
3	20	16	Electronics Vol1	LouiseAnnette Smart, Patrick Beyer, Joel Chassan	
3	21	9	Urban Vol 1, Jazz Vol 1	Drew Davidson	
3	22	5	Latin Vol 1	Anthony Morra	
3	23	4	Rock Vol 1, Urban Vol 1	Jose Rosario, Anthony Morra	
